EncoderAtt,DecoderAtt,B,H,lr,Optimizer,Epoch,UnseenCnt,MissedClass,WrongCount,UnseenClass
false,false,1,256,0.01,Adam,10,13,6,16,3
false,false,4,128,0.1,Rmsprop,30,11,6,20,3
false,false,16,128,0.1,Rmsprop,20,4,6,26,3
false,false,4,256,0.01,Adam,20,8,6,27,3
true,false,8,256,0.001,Rmsprop,10,4,6,71,3
true,false,2,128,0.001,Adam,10,5,6,78,3
true,false,8,128,0.001,Adam,10,4,6,78,3
true,false,16,256,0.01,SGD,30,3,6,79,3
false,false,8,256,0.01,SGD,30,3,6,80,3
false,false,16,128,0.01,SGD,30,3,6,80,3
true,false,4,256,0.01,SGD,30,3,6,82,3
false,false,2,128,0.01,SGD,30,4,6,82,3
true,false,4,256,0.001,Rmsprop,10,3,6,83,3
true,false,8,256,0.01,SGD,30,3,6,84,3
true,false,2,128,0.01,SGD,30,3,6,85,3
false,false,8,128,0.01,SGD,30,3,6,85,3
false,false,16,128,0.01,SGD,20,5,6,85,3
true,false,1,256,0.01,SGD,30,3,6,86,3
false,false,1,128,0.01,SGD,20,4,6,86,3
false,false,4,256,0.01,SGD,10,4,6,88,3
true,false,4,128,0.01,SGD,20,3,6,89,3
false,false,4,128,0.01,SGD,20,3,6,90,3
true,false,8,128,0.01,SGD,10,3,6,94,3
true,false,2,128,0.01,SGD,10,3,6,95,3
true,false,2,256,0.001,SGD,30,3,6,97,3
true,true,1,256,0.01,Adam,10,5,7,0,2
false,true,2,256,0.01,Adam,10,6,7,0,2
false,true,8,256,0.01,Adam,10,4,7,0,2
true,true,8,256,0.1,Adam,10,27,7,0,2
false,false,1,256,0.1,Rmsprop,30,17,7,0,2
false,false,8,256,0.1,Rmsprop,30,88,7,0,2
true,false,1,256,1.0,SGD,30,2,7,0,2
true,true,1,128,0.01,Adam,30,90,7,0,2
false,true,4,128,0.01,Adam,20,18,7,0,2
false,true,8,128,0.01,Adam,30,25,7,0,2
true,true,16,128,0.01,Adam,20,4,7,0,2
true,true,16,128,0.01,Adam,30,92,7,0,2
false,false,4,128,0.1,Adam,20,98,7,0,2
true,false,8,128,0.1,Adam,10,7,7,1,2
true,false,16,128,1.0,SGD,30,7,7,1,2
true,false,1,256,0.1,Rmsprop,30,29,7,2,2
false,false,2,128,0.1,Rmsprop,10,18,7,2,2
false,false,1,256,0.01,Adam,30,92,7,3,2
true,false,4,256,0.1,Rmsprop,10,43,7,5,2
false,false,4,256,0.01,Adam,30,3,7,6,2
true,false,1,128,1.0,SGD,10,2,7,6,2
true,false,16,128,1.0,SGD,10,5,7,6,2
false,false,1,128,0.1,Rmsprop,30,4,7,7,2
false,false,2,256,0.01,Adam,20,2,7,9,2
false,false,4,128,0.1,Adam,30,13,7,9,2
true,false,2,128,1.0,SGD,30,9,7,9,2
false,false,2,256,0.01,Adam,30,2,7,10,2
true,false,1,256,1.0,SGD,20,26,7,11,2
false,false,1,256,0.01,Adam,20,10,7,12,2
true,true,4,256,0.1,Adam,10,21,7,12,2
false,false,8,128,0.1,Rmsprop,20,10,7,13,2
true,false,8,128,1.0,SGD,20,7,7,13,2
true,true,4,256,0.1,Adam,20,25,7,18,2
true,false,8,256,1.0,SGD,10,5,7,20,2
true,false,16,256,1.0,SGD,20,10,7,20,2
false,false,8,256,0.1,Rmsprop,20,48,7,43,2
false,false,8,128,0.1,Rmsprop,10,10,7,46,2
false,true,1,256,0.1,Adam,20,8,7,49,2
false,false,2,128,0.1,Adam,20,4,7,49,2
false,false,1,128,0.01,SGD,30,2,7,79,2
false,false,16,256,0.1,Rmsprop,10,5,7,80,2
